"";"ano";"uf";"horasanuais";"massa de rendimentos";"tempo médio";"vinculos"
"101";1997;"RJ";1960,15689077696;NA;NA;3782810
"102";1997;"RO";1967,16331240768;NA;NA;173312
"103";1997;"RR";1973,07613258555;NA;NA;29777
"104";1997;"RS";1978,8114390445;NA;NA;2544758
"105";1997;"SC";1997,90990531395;NA;NA;1395665
"106";1997;"SE";1873,11754431963;NA;NA;247915
"107";1997;"SP";2017,51843935016;NA;NA;11302215
"108";1997;"TO";1968,4117887365;NA;NA;102810
"109";1998;"AC";1945,40237336866;NA;NA;70954
"110";1998;"AL";1884,02765364378;NA;NA;335435
"111";1998;"AM";1900,2850485082;NA;NA;328295
"112";1998;"AP";1949,46775484077;NA;NA;56241
"113";1998;"BA";1923,81995422329;NA;NA;1438723
"114";1998;"CE";1901,94958768983;NA;NA;872644
"115";1998;"DF";1887,89275208828;NA;NA;878115
"116";1998;"ES";1979,04754820225;NA;NA;634514
"117";1998;"GO";1972,02643854702;NA;NA;841196
"118";1998;"MA";1841,71311133787;NA;NA;347905
"119";1998;"MG";1962,3200138988;NA;NA;4092441
"120";1998;"MS";1969,69820009408;NA;NA;403910
"121";1998;"MT";1995,33741613193;NA;NA;430587
"122";1998;"PA";1846,68159817577;NA;NA;547299
"123";1998;"PB";1818,4388525832;NA;NA;410557
"124";1998;"PE";1931,36509404055;NA;NA;1094581
"125";1998;"PI";1903,86187283518;NA;NA;246845
"126";1998;"PR";1971,15846248038;NA;NA;2288283
"127";1998;"RN";1955,86309301901;NA;NA;378213
"128";1998;"RJ";1960,18393680301;NA;NA;3763597
"129";1998;"RO";1966,76633503046;NA;NA;184037
"130";1998;"RR";1924,7867653461;NA;NA;34455
"131";1998;"RS";1975,10493558034;NA;NA;2545962
"132";1998;"SC";1998,93478832444;NA;NA;1395839
"133";1998;"SE";1886,71225252568;NA;NA;257653
"134";1998;"SP";2013,8607468232;NA;NA;11003354
"135";1998;"TO";1992,85269352794;NA;NA;123871
"136";1999;"AC";1955,91893443226;NA;NA;67945
"137";1999;"AL";1882,67736773076;NA;NA;332428
"138";1999;"AM";1898,16516063787;NA;NA;320379
"139";1999;"AP";1853,08671973188;NA;NA;57288
"140";1999;"BA";1924,65690373177;NA;NA;1480156
"141";1999;"CE";1904,30497078528;NA;NA;875415
"142";1999;"DF";1888,20902661695;NA;NA;894355
"143";1999;"ES";1981,90807736205;NA;NA;643106
"144";1999;"GO";1974,37350063478;NA;NA;864866
"145";1999;"MA";1796,21059290019;NA;NA;341474
"146";1999;"MG";1960,38848465954;NA;NA;4089675
"147";1999;"MS";1973,08769235145;NA;NA;421884
"148";1999;"MT";1981,22656477136;NA;NA;433386
"149";1999;"PA";1858,01022310887;NA;NA;567929
"150";1999;"PB";1821,1076286507;NA;NA;413756
"151";1999;"PE";1932,79013313923;NA;NA;1116951
"152";1999;"PI";1902,64201929976;NA;NA;248086
"153";1999;"PR";1974,29681924101;NA;NA;2286907
"154";1999;"RN";1932,79435933541;NA;NA;389174
"155";1999;"RJ";1961,11773817838;NA;NA;3670033
